FIELD NO.,FIELD NAME,POSITION,PICTURE,LENGTH,FIELD DESCRIPTION / VALUES,START_POSITION,END_POSITION,RECORD
1,RECORD-ID,1 - 3,X(3),3,"""CHD""",1,3,chd
2,SEQUENCE-NO,4 - 10,9(7),7,Starts with 0000001,4,10,chd
3,CONTRACT-NO,11 - 15,X(5),5,Submitting Contract number,11,15,chd
4,FILE-ID,16 - 31,X(16),16,"40COVCCYY###, 40ENHCCYY### or 40OTCCCYY###  (Where  40 = Due from Contracts of Record - YTD Report COV / ENH / OTC indicates the drug coverage status being reported on    CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.)",16,31,chd
5,PROD-TEST-IND,32 - 35,X(4),4,TEST or PROD,32,35,chd
6,AS-OF-YEAR,36 - 39,X(4),4,"Identifies ""data reported through"" year.  Format is CCYY.",36,39,chd
7,AS-OF-MONTH,40 - 41,X(2),2,"Identifies ""data reported through"" month.  Valid values are 01 through 12.",40,41,chd
8,DDPS-SYSTEM-DATE,42 - 49,X(8),8,‘CCYYMMDD’ = DDPS File creation date.,42,49,chd
9,DDPS-SYSTEM-TIME,50 - 55,X(6),6,‘HHMMSS’ = DDPS File creation time.,50,55,chd
10,DDPS-REPORT-ID,56 - 60,X(5),5,"DDPS Report identifier (Either '40COV', '40ENH' or '40OTC').",56,60,chd
11,FILLER,61 - 512,X(452),452,SPACES,61,512,chd
