FIELD NO.,FIELD NAME,POSITION,PICTURE,LENGTH,FIELD DESCRIPTION / VALUES,START_POSITION,END_POSITION,RECORD,DOCUMENT
"1, 1, 1, 1, 1",RECORD-ID,"1 - 3, 1 - 3, 1 - 3, 1 - 3, 1 - 3","X(3), X(3), X(3), X(3), X(3)","3, 3, 3, 3, 3","""CHD"", ""PHD"", DET, ""PTR"", ""CTR""","1, 1, 1, 1, 1","3, 3, 3, 3, 3","chd, phd, det, ptr, ctr","40COV, 40ENH, 40OTC"
"2, 2, 2, 2, 2",SEQUENCE-NO,"4 - 10, 4 - 10, 4 - 10, 4 - 10, 4 - 10","9(7), 9(7), 9(7), 9(7), 9(7)","7, 7, 7, 7, 7","Starts with 0000001, Starts with 0000001, Must start with 0000001, Starts with 0000001, Must start with 0000001","4, 4, 4, 4, 4","10, 10, 10, 10, 10","chd, phd, det, ptr, ctr","40COV, 40ENH, 40OTC"
"3, 3, 3, 3",CONTRACT-NO,"11 - 15, 11 - 15, 11 - 15, 11 - 15","X(5), X(5), X(5), X(5)","5, 5, 5, 5","Submitting Contract number, Submitting Contract number, Same as PHD, Must match CHD","11, 11, 11, 11","15, 15, 15, 15","chd, phd, ptr, ctr","40COV, 40ENH, 40OTC"
"4, 5",FILE-ID,"16 - 31, 19 - 34","X(16), X(16)","16, 16","40COVCCYY###, 40ENHCCYY### or 40OTCCCYY###  (Where  40 = Due from Contracts of Record - YTD Report COV / ENH / OTC indicates the drug coverage status being reported on    CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.), 40COVCCYY###, 40ENHCCYY### or 40OTCCCYY###  (Where  40 = Due from Contracts of Record - YTD Report COV / ENH / OTC indicates the drug coverage status being reported on    CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.)","16, 19","31, 34","chd, phd","40COV, 40ENH, 40OTC"
"5, 6",PROD-TEST-IND,"32 - 35, 35 - 38","X(4), X(4)","4, 4","TEST or PROD, TEST or PROD","32, 35","35, 38","chd, phd","40COV, 40ENH, 40OTC"
"6, 7",AS-OF-YEAR,"36 - 39, 39 - 42","X(4), X(4)","4, 4","Identifies ""data reported through"" year.  Format is CCYY., Identifies ""data reported through"" year.  Format is CCYY.","36, 39","39, 42","chd, phd","40COV, 40ENH, 40OTC"
"7, 8",AS-OF-MONTH,"40 - 41, 43 - 44","X(2), X(2)","2, 2","Identifies ""data reported through"" month.  Valid values are 01 through 12., Identifies ""data reported through"" month.  Valid values are 01 through 12.","40, 43","41, 44","chd, phd","40COV, 40ENH, 40OTC"
"8, 9",DDPS-SYSTEM-DATE,"42 - 49, 45 - 52","X(8), X(8)","8, 8","‘CCYYMMDD’ = DDPS File creation date., ‘CCYYMMDD’ = DDPS File creation date.","42, 45","49, 52","chd, phd","40COV, 40ENH, 40OTC"
"9, 10",DDPS-SYSTEM-TIME,"50 - 55, 53 - 58","X(6), X(6)","6, 6","‘HHMMSS’ = DDPS File creation time., ‘HHMMSS’ = DDPS File creation time.","50, 53","55, 58","chd, phd","40COV, 40ENH, 40OTC"
"10, 11",DDPS-REPORT-ID,"56 - 60, 59 - 63","X(5), X(5)","5, 5","DDPS Report identifier (Either '40COV', '40ENH' or '40OTC')., DDPS Report identifier (Either '40COV', '40ENH' or '40OTC').","56, 59","60, 63","chd, phd","40COV, 40ENH, 40OTC"
"11, 12, 32, 29, 32, 6, 29, 32",FILLER,"61 - 512, 64 - 512, 388 - 512, 320 - 331, 354 - 512, 28 - 36, 326 - 337, 360 - 512","X(452), X(449), X(125), X(12), X(159), X(9), X(12), X(153)","452, 449, 125, 12, 159, 9, 12, 153","SPACES, SPACES, SPACES, SPACES, SPACES, SPACES, SPACES, SPACES","61, 64, 388, 320, 354, 28, 326, 360","512, 512, 512, 331, 512, 36, 337, 512","chd, phd, det, ptr, ptr, ctr, ctr, ctr","40COV, 40ENH, 40OTC"
"4, 4",PBP-ID,"16 - 18, 16 - 18","X(3), X(3)","3, 3","Submitting PBP ID, Same as PHD","16, 16","18, 18","phd, ptr","40COV, 40ENH, 40OTC"
"3, 5, 4",DRUG-COVERAGE-STATUS-CODE,"11 - 11, 19 - 19, 16 - 16","X(1), X(1), X(1)","1, 1, 1","Code to identify whether drug is covered (C), supplemental (E) or over-the-counter (O)., Code to identify whether drug is covered (C), supplemental (E) or over-the-counter (O)., Code to identify whether drug is covered (C), supplemental (E) or over-the-counter (O).","11, 19, 16","11, 19, 16","det, ptr, ctr","40COV, 40ENH, 40OTC"
4,CURRENT-CMS-HICN,12 - 31,X(20),20,"Medicare HIC or RRB number.  If the beneficiary has more than one HICN on file, this is current HICN.",12,31,det,"40COV, 40ENH, 40OTC"
5,LAST-SUBMITTED-HICN,32 - 51,X(20),20,HICN from the most recent accepted PDE in the DDPS database for that plan/beneficiary.,32,51,det,"40COV, 40ENH, 40OTC"
6,LAST-SUBMITTED-CARDHOLDER-ID,52 - 71,X(20),20,"Plan identification of the enrollee, as reported on the most recent PDE for the benefit year.",52,71,det,"40COV, 40ENH, 40OTC"
7,EARLIEST-PDE-ATTACHMENT-POINT-DATE,72 - 79,9(8),8,Date of service from the earliest attachment point PDE associated with the PBP - CCYYMMDD,72,79,det,"40COV, 40ENH, 40OTC"
"8, 7, 7",RX-COUNT,"80 - 90, 31 - 41, 37 - 47","9(11), 9(11), 9(11)","11, 11, 11","Number of Prescriptions net of deleted and adjusted PDEs, as well as partial fill transactions.  Partial and Complete PDEs are each counted as 1., Number of Prescriptions net of deleted and/or adjusted PDEs, as well as partial fill transactions.  Partial and Complete PDEs are each counted as 1., Number of Prescriptions net of deleted and/or adjusted PDEs, as well as partial fill transactions.  Partial and Complete PDEs are each counted as 1.","80, 31, 37","90, 41, 47","det, ptr, ctr","40COV, 40ENH, 40OTC"
"9, 8, 8",NET-INGRED-COST,"91 - 104, 42 - 55, 48 - 61","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Self-explanatory, Self-explanatory, Self-explanatory","91, 42, 48","104, 55, 61","det, ptr, ctr","40COV, 40ENH, 40OTC"
"10, 9, 9",NET-DISPENS-FEE,"105 - 118, 56 - 69, 62 - 75","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Self-explanatory, Self-explanatory, Self-explanatory","105, 56, 62","118, 69, 75","det, ptr, ctr","40COV, 40ENH, 40OTC"
"11, 10, 10",NET-SALES-TAX,"119 - 132, 70 - 83, 76 - 89","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Self-explanatory, Self-explanatory, Self-explanatory","119, 70, 76","132, 83, 89","det, ptr, ctr","40COV, 40ENH, 40OTC"
"12, 11, 11",NET-GDCB-AMOUNT,"133 - 146, 84 - 97, 90 - 103","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Net Gross Drug Cost Below the Catastrophic Coverage Threshold, Net Gross Drug Cost Below the Catastrophic Coverage Threshold, Net Gross Drug Cost Below the Catastrophic Coverage Threshold","133, 84, 90","146, 97, 103","det, ptr, ctr","40COV, 40ENH, 40OTC"
